archivo	iteracion_bayesiana	ganancia	corte
8101KAa_076_09000.csv	76	15456000	9000
8101KAa_076_09500.csv	76	15456000	9500
8101KAa_076_10000.csv	76	15456000	10000
8101KAa_076_10500.csv	76	15456000	10500
8101KAa_076_11000.csv	76	15456000	11000
8101KAa_076_11500.csv	76	15456000	11500
8101KAa_076_12000.csv	76	15456000	12000
8101KAa_076_12500.csv	76	15456000	12500
8101KAa_076_13000.csv	76	15456000	13000
8101KAa_076_13500.csv	76	15456000	13500
8101KAa_076_14000.csv	76	15456000	14000
8101KAa_045_09000.csv	45	15260000	9000
8101KAa_045_09500.csv	45	15260000	9500
8101KAa_045_10000.csv	45	15260000	10000
8101KAa_045_10500.csv	45	15260000	10500
8101KAa_045_11000.csv	45	15260000	11000
8101KAa_045_11500.csv	45	15260000	11500
8101KAa_045_12000.csv	45	15260000	12000
8101KAa_045_12500.csv	45	15260000	12500
8101KAa_045_13000.csv	45	15260000	13000
8101KAa_045_13500.csv	45	15260000	13500
8101KAa_045_14000.csv	45	15260000	14000
8101KAa_097_09000.csv	97	15208000	9000
8101KAa_097_09500.csv	97	15208000	9500
8101KAa_097_10000.csv	97	15208000	10000
8101KAa_097_10500.csv	97	15208000	10500
8101KAa_097_11000.csv	97	15208000	11000
8101KAa_097_11500.csv	97	15208000	11500
8101KAa_097_12000.csv	97	15208000	12000
8101KAa_097_12500.csv	97	15208000	12500
8101KAa_097_13000.csv	97	15208000	13000
8101KAa_097_13500.csv	97	15208000	13500
8101KAa_097_14000.csv	97	15208000	14000
8101KAa_043_09000.csv	43	15180000	9000
8101KAa_043_09500.csv	43	15180000	9500
8101KAa_043_10000.csv	43	15180000	10000
8101KAa_043_10500.csv	43	15180000	10500
8101KAa_043_11000.csv	43	15180000	11000
8101KAa_043_11500.csv	43	15180000	11500
8101KAa_043_12000.csv	43	15180000	12000
8101KAa_043_12500.csv	43	15180000	12500
8101KAa_043_13000.csv	43	15180000	13000
8101KAa_043_13500.csv	43	15180000	13500
8101KAa_043_14000.csv	43	15180000	14000
8101KAa_015_09000.csv	15	15082000	9000
8101KAa_015_09500.csv	15	15082000	9500
8101KAa_015_10000.csv	15	15082000	10000
8101KAa_015_10500.csv	15	15082000	10500
8101KAa_015_11000.csv	15	15082000	11000
8101KAa_015_11500.csv	15	15082000	11500
8101KAa_015_12000.csv	15	15082000	12000
8101KAa_015_12500.csv	15	15082000	12500
8101KAa_015_13000.csv	15	15082000	13000
8101KAa_015_13500.csv	15	15082000	13500
8101KAa_015_14000.csv	15	15082000	14000
