Feature	Gain	Cover	Frequency
mtarjeta_visa_consumo_rank	0.102894130475888	0.0065608608299368	0.00476190476190476
ctrx_quarter_rank	0.084697329789034	0.0251116527307991	0.0199134199134199
mcaja_ahorro_lag1	0.0733525052420972	0.00759098596997049	0.00627705627705628
mdescubierto_preacordado_tend6	0.0692715942739442	0.00415649588290261	0.00367965367965368
ctarjeta_visa_trx	0.045886112228923	0.0147043529985809	0.0142857142857143
ctrx_quarter_normalizado_rank	0.0393701341125104	0.0102987520180868	0.00692640692640693
cpayroll_trx_min3	0.0261920052887946	0.00595420275530029	0.00238095238095238
mpayroll_sobre_edad_rank	0.0256337574218908	0.0159122295640371	0.0101731601731602
Visa_mfinanciacion_limite_rank	0.0241296869669026	0.0121970690446711	0.0186147186147186
mpasivos_margen	0.0200805367742349	0.0150899489741657	0.0127705627705628
ctarjeta_visa_trx_rank	0.0196033132878521	0.00787038245553518	0.011038961038961
mprestamos_personales_rank	0.0188552713264079	0.00580021620155637	0.00822510822510823
mcaja_ahorro_delta2	0.017470350846771	0.00283621671924276	0.0051948051948052
foto_mes	0.0170375188150992	0.0200341728055719	0.0270562770562771
cproductos_delta1	0.0137024595464437	0.00742246433081498	0.00476190476190476
mtarjeta_visa_consumo	0.0127454163315055	0.00573305277360973	0.00497835497835498
mv_status01	0.0121533733395063	0.00283440352463715	0.00238095238095238
mcuentas_saldo	0.0119699124603643	0.00802771136180144	0.00865800865800866
tmobile_app_rank	0.0102269299316365	0.0292465808079954	0.0138528138528139
mprestamos_personales_tend6	0.00979839001256959	0.016663267565395	0.0145021645021645
mes	0.00927120561928599	0.0143814918690037	0.0166666666666667
ctrx_quarter_normalizado	0.00900807781804597	0.00230396008669202	0.00173160173160173
mrentabilidad_annual_tend3	0.00900618894874161	0.0037013727879155	0.00779220779220779
mpayroll_sobre_edad	0.00890521528814987	0.0126158171638904	0.00649350649350649
cpayroll_trx	0.00871588680363281	0.0057525310816937	0.00238095238095238
mcuenta_corriente_rank	0.00844168522579201	0.0042415325304165	0.00865800865800866
mcuentas_saldo_rank	0.00799364168498098	0.00662616606736671	0.00887445887445888
ccomisiones_mantenimiento_tend6	0.00774693594087872	0.0159082382861092	0.00779220779220779
cproductos_rank	0.0076613473501567	0.0170883755754256	0.0183982683982684
mactivos_margen_min3	0.00729564266496331	0.0119421580684239	0.0188311688311688
internet_avg6	0.00712733774841815	0.0277788191089307	0.0177489177489178
