lote	time	secs	mem	CPU	GB
1	20220602 033300	0	59	61	15999
1	20220602 033550	170	74	4	15999
1	20220602 033555	175	91	14	15999
1	20220602 033600	180	100	14	15999
1	20220602 033605	185	45	11	15999
1	20220602 034110	490	45	0	15999
2	20220701 125206	0	7	59	3670
2	20220701 125211	5	16	100	3670
2	20220701 125216	10	22	100	3670
2	20220701 125236	30	32	70	3670
2	20220701 125246	40	36	21	3670
2	20220701 125251	45	51	100	3670
2	20220701 125256	50	46	81	3670
2	20220701 125311	65	55	30	3670
3	20220702 123554	0	1	7	128822
3	20220702 124059	305	1	0	128822
3	20220702 124604	610	8	53	128822
3	20220702 124734	700	2	37	128822
