archivo	iteracion_bayesiana	ganancia	corte
8101ZZc_076_09000.csv	76	15456000	9000
8101ZZc_076_09500.csv	76	15456000	9500
8101ZZc_076_10000.csv	76	15456000	10000
8101ZZc_076_10500.csv	76	15456000	10500
8101ZZc_076_11000.csv	76	15456000	11000
8101ZZc_076_11500.csv	76	15456000	11500
8101ZZc_076_12000.csv	76	15456000	12000
8101ZZc_076_12500.csv	76	15456000	12500
8101ZZc_076_13000.csv	76	15456000	13000
8101ZZc_076_13500.csv	76	15456000	13500
8101ZZc_076_14000.csv	76	15456000	14000
8101ZZc_076_14500.csv	76	15456000	14500
8101ZZc_076_15000.csv	76	15456000	15000
8101ZZc_semillerio_076_09000.csv	76	15456000	9000
8101ZZc_semillerio_076_09500.csv	76	15456000	9500
8101ZZc_semillerio_076_10000.csv	76	15456000	10000
8101ZZc_semillerio_076_10500.csv	76	15456000	10500
8101ZZc_semillerio_076_11000.csv	76	15456000	11000
8101ZZc_semillerio_076_11500.csv	76	15456000	11500
8101ZZc_semillerio_076_12000.csv	76	15456000	12000
8101ZZc_semillerio_076_12500.csv	76	15456000	12500
8101ZZc_semillerio_076_13000.csv	76	15456000	13000
8101ZZc_semillerio_076_13500.csv	76	15456000	13500
8101ZZc_semillerio_076_14000.csv	76	15456000	14000
8101ZZc_semillerio_076_14500.csv	76	15456000	14500
8101ZZc_semillerio_076_15000.csv	76	15456000	15000
