cp	max_depth	min_split	min_bucket	ganancia_promedio
-1	4	1000	3	8940667
-1	4	1000	103	9655333
-1	4	1000	203	9707333
-1	4	1000	303	9720667
-1	4	1000	403	9720667
-1	4	800	3	8936000
-1	4	800	83	9416000
-1	4	800	163	9651333
-1	4	800	243	9613333
-1	4	800	323	9528000
-1	4	600	3	8936000
-1	4	600	63	9478000
-1	4	600	123	9524000
-1	4	600	183	9554000
-1	4	600	243	9516000
-1	4	400	3	8936000
-1	4	400	43	9516667
-1	4	400	83	9380667
-1	4	400	123	9476667
-1	4	400	163	9506667
-1	4	200	3	8936000
-1	4	200	23	9656000
-1	4	200	43	9516667
-1	4	200	63	9474667
-1	4	200	83	9380667
-1	4	100	3	8936000
-1	4	100	13	9764667
-1	4	100	23	9656000
-1	4	100	33	9613333
-1	4	100	43	9516667
-1	4	50	3	8936000
-1	4	50	8	9412667
-1	4	50	13	9764667
-1	4	50	18	9691333
-1	4	50	23	9656000
-1	4	20	3	8936000
-1	4	20	5	9280000
-1	4	20	7	9382667
-1	4	20	9	9500000
-1	4	10	3	8936000
-1	4	10	4	8890000
-1	4	10	5	9282000
-1	8	1000	3	9633333
-1	8	1000	103	8786667
-1	8	1000	203	9709333
-1	8	1000	303	9530000
-1	8	1000	403	9816000
-1	8	800	3	9005333
-1	8	800	83	8402667
-1	8	800	163	8392000
-1	8	800	243	9100667
-1	8	800	323	8973333
-1	8	600	3	8978000
-1	8	600	63	8070667
-1	8	600	123	8660000
-1	8	600	183	8755333
-1	8	600	243	8986667
-1	8	400	3	8996667
-1	8	400	43	7974667
-1	8	400	83	7890000
-1	8	400	123	8240667
-1	8	400	163	7502000
-1	8	200	3	9140667
-1	8	200	23	8270667
-1	8	200	43	8209333
-1	8	200	63	8298000
-1	8	200	83	8232000
-1	8	100	3	9145333
-1	8	100	13	8932000
-1	8	100	23	8459333
-1	8	100	33	8269333
-1	8	100	43	8113333
-1	8	50	3	9228667
-1	8	50	8	8934000
-1	8	50	13	9053333
-1	8	50	18	9396000
-1	8	50	23	8440000
-1	8	20	3	9308667
-1	8	20	5	9281333
-1	8	20	7	9082000
-1	8	20	9	9076667
-1	8	10	3	9241333
-1	8	10	4	9372667
-1	8	10	5	9230000
-1	12	1000	3	9485333
-1	12	1000	103	8364000
-1	12	1000	203	9401333
-1	12	1000	303	9530000
-1	12	1000	403	9816000
-1	12	800	3	8799333
-1	12	800	83	7744000
-1	12	800	163	8081333
-1	12	800	243	8946000
-1	12	800	323	8973333
-1	12	600	3	8526000
-1	12	600	63	7288000
-1	12	600	123	7806667
-1	12	600	183	8178000
-1	12	600	243	8715333
-1	12	400	3	8531333
-1	12	400	43	6407333
-1	12	400	83	6204000
-1	12	400	123	6961333
-1	12	400	163	6836000
-1	12	200	3	8321333
-1	12	200	23	6780000
-1	12	200	43	6017333
-1	12	200	63	6338000
-1	12	200	83	5702667
-1	12	100	3	8308667
-1	12	100	13	6641333
-1	12	100	23	6670000
-1	12	100	33	6146667
-1	12	100	43	5565333
-1	12	50	3	8456667
-1	12	50	8	7927333
-1	12	50	13	6890667
-1	12	50	18	6594000
-1	12	50	23	6736667
-1	12	20	3	8682667
-1	12	20	5	8570667
-1	12	20	7	8281333
-1	12	20	9	8033333
-1	12	10	3	8704667
-1	12	10	4	8769333
-1	12	10	5	8573333
-1	16	1000	3	9188667
-1	16	1000	103	8281333
-1	16	1000	203	9401333
-1	16	1000	303	9530000
-1	16	1000	403	9816000
-1	16	800	3	8344000
-1	16	800	83	7663333
-1	16	800	163	8081333
-1	16	800	243	8946000
-1	16	800	323	8973333
-1	16	600	3	8254667
-1	16	600	63	7155333
-1	16	600	123	7769333
-1	16	600	183	8178000
-1	16	600	243	8715333
-1	16	400	3	7495333
-1	16	400	43	6017333
-1	16	400	83	6026667
-1	16	400	123	6866000
-1	16	400	163	6836000
-1	16	200	3	6893333
-1	16	200	23	5872000
-1	16	200	43	5507333
-1	16	200	63	5657333
-1	16	200	83	5414667
-1	16	100	3	6746000
-1	16	100	13	5182000
-1	16	100	23	5211333
-1	16	100	33	4570667
-1	16	100	43	4573333
-1	16	50	3	6896000
-1	16	50	8	5280000
-1	16	50	13	5193333
-1	16	50	18	4614667
-1	16	50	23	4912000
-1	16	20	3	7171333
-1	16	20	5	6585333
-1	16	20	7	6020667
-1	16	20	9	5422000
-1	16	10	3	7234667
-1	16	10	4	6454000
-1	16	10	5	6655333
-1	20	1000	3	8670667
-1	20	1000	103	8250000
-1	20	1000	203	9401333
-1	20	1000	303	9530000
-1	20	1000	403	9816000
-1	20	800	3	7625333
-1	20	800	83	7632000
-1	20	800	163	8081333
-1	20	800	243	8946000
-1	20	800	323	8973333
-1	20	600	3	7524000
-1	20	600	63	7045333
-1	20	600	123	7769333
-1	20	600	183	8178000
-1	20	600	243	8715333
-1	20	400	3	6492000
-1	20	400	43	5720667
-1	20	400	83	5995333
-1	20	400	123	6866000
-1	20	400	163	6836000
-1	20	200	3	5718667
-1	20	200	23	5098000
-1	20	200	43	4973333
-1	20	200	63	5556667
-1	20	200	83	5362667
-1	20	100	3	5468000
-1	20	100	13	4005333
-1	20	100	23	3899333
-1	20	100	33	4148000
-1	20	100	43	4072000
-1	20	50	3	5346000
-1	20	50	8	3488667
-1	20	50	13	3857333
-1	20	50	18	3748000
-1	20	50	23	3707333
-1	20	20	3	5400000
-1	20	20	5	4076667
-1	20	20	7	3324667
-1	20	20	9	2973333
-1	20	10	3	5546000
-1	20	10	4	4644000
-1	20	10	5	4113333
