cp	max_depth	min_split	min_bucket	ganancia_promedio
-1	6	900	350	9987333
-1	6	900	360	9880667
-1	6	900	370	9934667
-1	6	900	380	10005333
-1	6	900	390	9662667
-1	6	900	400	9660667
-1	6	900	410	9682667
-1	6	900	420	9626667
-1	6	900	430	9616000
-1	6	900	440	9814000
-1	6	900	450	9488000
-1	6	950	350	10068000
-1	6	950	360	9961333
-1	6	950	370	10015333
-1	6	950	380	10086000
-1	6	950	390	9743333
-1	6	950	400	9742000
-1	6	950	410	9764667
-1	6	950	420	9752667
-1	6	950	430	9778000
-1	6	950	440	9887333
-1	6	950	450	9644000
-1	6	1000	350	10315333
-1	6	1000	360	10208667
-1	6	1000	370	10262667
-1	6	1000	380	10296000
-1	6	1000	390	9955333
-1	6	1000	400	9955333
-1	6	1000	410	9980667
-1	6	1000	420	9970000
-1	6	1000	430	10006667
-1	6	1000	440	10057333
-1	6	1000	450	9814000
-1	6	1050	350	10442667
-1	6	1050	360	10336000
-1	6	1050	370	10390000
-1	6	1050	380	10423333
-1	6	1050	390	10082667
-1	6	1050	400	10082667
-1	6	1050	410	10108000
-1	6	1050	420	10097333
-1	6	1050	430	10134000
-1	6	1050	440	10184667
-1	6	1050	450	9941333
-1	6	1100	350	10442667
-1	6	1100	360	10336000
-1	6	1100	370	10390000
-1	6	1100	380	10423333
-1	6	1100	390	10082667
-1	6	1100	400	10082667
-1	6	1100	410	10108000
-1	6	1100	420	10097333
-1	6	1100	430	10134000
-1	6	1100	440	10184667
-1	6	1100	450	9941333
-1	7	900	350	9272000
-1	7	900	360	9364000
-1	7	900	370	9503333
-1	7	900	380	9504667
-1	7	900	390	9532667
-1	7	900	400	9526667
-1	7	900	410	9291333
-1	7	900	420	9544667
-1	7	900	430	9534000
-1	7	900	440	9561333
-1	7	900	450	9297333
-1	7	950	350	9654667
-1	7	950	360	9819333
-1	7	950	370	9886000
-1	7	950	380	9887333
-1	7	950	390	9915333
-1	7	950	400	9910000
-1	7	950	410	9675333
-1	7	950	420	9670667
-1	7	950	430	9696000
-1	7	950	440	9634667
-1	7	950	450	9557333
-1	7	1000	350	9902000
-1	7	1000	360	10066667
-1	7	1000	370	10100000
-1	7	1000	380	10064000
-1	7	1000	390	10094000
-1	7	1000	400	10090000
-1	7	1000	410	9858667
-1	7	1000	420	9888000
-1	7	1000	430	9924667
-1	7	1000	440	9804667
-1	7	1000	450	9727333
-1	7	1050	350	10019333
-1	7	1050	360	10184000
-1	7	1050	370	10217333
-1	7	1050	380	10191333
-1	7	1050	390	10221333
-1	7	1050	400	10217333
-1	7	1050	410	9986000
-1	7	1050	420	10015333
-1	7	1050	430	10052000
-1	7	1050	440	9932000
-1	7	1050	450	9854667
-1	7	1100	350	10019333
-1	7	1100	360	10184000
-1	7	1100	370	10217333
-1	7	1100	380	10191333
-1	7	1100	390	10221333
-1	7	1100	400	10217333
-1	7	1100	410	9986000
-1	7	1100	420	10015333
-1	7	1100	430	10052000
-1	7	1100	440	9932000
-1	7	1100	450	9854667
-1	8	900	350	9191333
-1	8	900	360	9283333
-1	8	900	370	9422667
-1	8	900	380	9424000
-1	8	900	390	9452000
-1	8	900	400	9437333
-1	8	900	410	9202000
-1	8	900	420	9544667
-1	8	900	430	9534000
-1	8	900	440	9561333
-1	8	900	450	9297333
-1	8	950	350	9574000
-1	8	950	360	9738667
-1	8	950	370	9805333
-1	8	950	380	9806667
-1	8	950	390	9834667
-1	8	950	400	9820667
-1	8	950	410	9586000
-1	8	950	420	9670667
-1	8	950	430	9696000
-1	8	950	440	9634667
-1	8	950	450	9557333
-1	8	1000	350	9821333
-1	8	1000	360	9986000
-1	8	1000	370	10019333
-1	8	1000	380	9983333
-1	8	1000	390	10013333
-1	8	1000	400	10000667
-1	8	1000	410	9769333
-1	8	1000	420	9888000
-1	8	1000	430	9924667
-1	8	1000	440	9804667
-1	8	1000	450	9727333
-1	8	1050	350	9938667
-1	8	1050	360	10103333
-1	8	1050	370	10136667
-1	8	1050	380	10110667
-1	8	1050	390	10140667
-1	8	1050	400	10128000
-1	8	1050	410	9896667
-1	8	1050	420	10015333
-1	8	1050	430	10052000
-1	8	1050	440	9932000
-1	8	1050	450	9854667
-1	8	1100	350	9938667
-1	8	1100	360	10103333
-1	8	1100	370	10136667
-1	8	1100	380	10110667
-1	8	1100	390	10140667
-1	8	1100	400	10128000
-1	8	1100	410	9896667
-1	8	1100	420	10015333
-1	8	1100	430	10052000
-1	8	1100	440	9932000
-1	8	1100	450	9854667
-1	9	900	350	9191333
-1	9	900	360	9283333
-1	9	900	370	9422667
-1	9	900	380	9424000
-1	9	900	390	9452000
-1	9	900	400	9437333
