cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.3	5	1030	330	10375333
-0.3	5	1030	335	10308667
-0.3	5	1030	340	10254000
-0.3	5	1030	345	10310000
-0.3	5	1030	350	10309333
-0.3	5	1030	355	10308667
-0.3	5	1030	360	10306000
-0.3	5	1030	365	10305333
-0.3	5	1030	370	10360000
-0.3	5	1035	330	10375333
-0.3	5	1035	335	10308667
-0.3	5	1035	340	10254000
-0.3	5	1035	345	10310000
-0.3	5	1035	350	10309333
-0.3	5	1035	355	10308667
-0.3	5	1035	360	10306000
-0.3	5	1035	365	10305333
-0.3	5	1035	370	10360000
-0.3	5	1040	330	10375333
-0.3	5	1040	335	10308667
-0.3	5	1040	340	10254000
-0.3	5	1040	345	10310000
-0.3	5	1040	350	10309333
-0.3	5	1040	355	10308667
-0.3	5	1040	360	10306000
-0.3	5	1040	365	10305333
-0.3	5	1040	370	10360000
-0.3	5	1045	330	10375333
-0.3	5	1045	335	10308667
-0.3	5	1045	340	10254000
-0.3	5	1045	345	10310000
-0.3	5	1045	350	10309333
-0.3	5	1045	355	10308667
-0.3	5	1045	360	10306000
-0.3	5	1045	365	10305333
-0.3	5	1045	370	10360000
-0.3	5	1050	330	10375333
-0.3	5	1050	335	10308667
-0.3	5	1050	340	10254000
-0.3	5	1050	345	10310000
-0.3	5	1050	350	10309333
-0.3	5	1050	355	10308667
-0.3	5	1050	360	10306000
-0.3	5	1050	365	10305333
-0.3	5	1050	370	10360000
-0.3	5	1055	330	10375333
-0.3	5	1055	335	10308667
-0.3	5	1055	340	10254000
-0.3	5	1055	345	10310000
-0.3	5	1055	350	10309333
-0.3	5	1055	355	10308667
-0.3	5	1055	360	10306000
-0.3	5	1055	365	10305333
-0.3	5	1055	370	10360000
-0.3	5	1060	330	10375333
-0.3	5	1060	335	10308667
-0.3	5	1060	340	10254000
-0.3	5	1060	345	10310000
-0.3	5	1060	350	10309333
-0.3	5	1060	355	10308667
-0.3	5	1060	360	10306000
-0.3	5	1060	365	10305333
-0.3	5	1060	370	10360000
-0.3	5	1065	330	10375333
-0.3	5	1065	335	10308667
-0.3	5	1065	340	10254000
-0.3	5	1065	345	10310000
-0.3	5	1065	350	10309333
-0.3	5	1065	355	10308667
-0.3	5	1065	360	10306000
-0.3	5	1065	365	10305333
-0.3	5	1065	370	10360000
-0.3	5	1070	330	10375333
-0.3	5	1070	335	10308667
-0.3	5	1070	340	10254000
-0.3	5	1070	345	10310000
-0.3	5	1070	350	10309333
-0.3	5	1070	355	10308667
-0.3	5	1070	360	10306000
-0.3	5	1070	365	10305333
-0.3	5	1070	370	10360000
-0.3	6	1030	330	10413333
-0.3	6	1030	335	10520000
-0.3	6	1030	340	10465333
-0.3	6	1030	345	10495333
-0.3	6	1030	350	10442667
-0.3	6	1030	355	10338667
-0.3	6	1030	360	10336000
-0.3	6	1030	365	10335333
-0.3	6	1030	370	10390000
-0.3	6	1035	330	10413333
-0.3	6	1035	335	10520000
-0.3	6	1035	340	10465333
-0.3	6	1035	345	10495333
-0.3	6	1035	350	10442667
-0.3	6	1035	355	10338667
-0.3	6	1035	360	10336000
-0.3	6	1035	365	10335333
-0.3	6	1035	370	10390000
-0.3	6	1040	330	10413333
-0.3	6	1040	335	10520000
-0.3	6	1040	340	10465333
-0.3	6	1040	345	10495333
-0.3	6	1040	350	10442667
-0.3	6	1040	355	10338667
-0.3	6	1040	360	10336000
-0.3	6	1040	365	10335333
-0.3	6	1040	370	10390000
-0.3	6	1045	330	10413333
-0.3	6	1045	335	10520000
-0.3	6	1045	340	10465333
-0.3	6	1045	345	10495333
-0.3	6	1045	350	10442667
-0.3	6	1045	355	10338667
-0.3	6	1045	360	10336000
-0.3	6	1045	365	10335333
-0.3	6	1045	370	10390000
-0.3	6	1050	330	10413333
-0.3	6	1050	335	10520000
-0.3	6	1050	340	10465333
-0.3	6	1050	345	10495333
-0.3	6	1050	350	10442667
-0.3	6	1050	355	10338667
-0.3	6	1050	360	10336000
-0.3	6	1050	365	10335333
-0.3	6	1050	370	10390000
-0.3	6	1055	330	10413333
-0.3	6	1055	335	10520000
-0.3	6	1055	340	10465333
-0.3	6	1055	345	10495333
-0.3	6	1055	350	10442667
-0.3	6	1055	355	10338667
-0.3	6	1055	360	10336000
-0.3	6	1055	365	10335333
-0.3	6	1055	370	10390000
-0.3	6	1060	330	10413333
-0.3	6	1060	335	10520000
-0.3	6	1060	340	10465333
-0.3	6	1060	345	10495333
-0.3	6	1060	350	10442667
-0.3	6	1060	355	10338667
-0.3	6	1060	360	10336000
-0.3	6	1060	365	10335333
-0.3	6	1060	370	10390000
-0.3	6	1065	330	10413333
-0.3	6	1065	335	10520000
-0.3	6	1065	340	10465333
-0.3	6	1065	345	10495333
-0.3	6	1065	350	10442667
-0.3	6	1065	355	10338667
-0.3	6	1065	360	10336000
-0.3	6	1065	365	10335333
-0.3	6	1065	370	10390000
-0.3	6	1070	330	10413333
-0.3	6	1070	335	10520000
-0.3	6	1070	340	10465333
-0.3	6	1070	345	10495333
-0.3	6	1070	350	10442667
-0.3	6	1070	355	10338667
-0.3	6	1070	360	10336000
-0.3	6	1070	365	10335333
-0.3	6	1070	370	10390000
-0.3	7	1030	330	10015333
-0.3	7	1030	335	10116667
-0.3	7	1030	340	10062000
-0.3	7	1030	345	10072000
-0.3	7	1030	350	10029333
-0.3	7	1030	355	10196667
-0.3	7	1030	360	10194000
-0.3	7	1030	365	10193333
-0.3	7	1030	370	10227333
-0.3	7	1035	330	9995333
-0.3	7	1035	335	10096667
-0.3	7	1035	340	10042000
-0.3	7	1035	345	10072000
-0.3	7	1035	350	10019333
-0.3	7	1035	355	10186667
-0.3	7	1035	360	10184000
-0.3	7	1035	365	10183333
-0.3	7	1035	370	10217333
-0.3	7	1040	330	9995333
-0.3	7	1040	335	10096667
-0.3	7	1040	340	10042000
-0.3	7	1040	345	10072000
-0.3	7	1040	350	10019333
-0.3	7	1040	355	10186667
-0.3	7	1040	360	10184000
-0.3	7	1040	365	10183333
-0.3	7	1040	370	10217333
-0.3	7	1045	330	9995333
-0.3	7	1045	335	10096667
-0.3	7	1045	340	10042000
-0.3	7	1045	345	10072000
-0.3	7	1045	350	10019333
-0.3	7	1045	355	10186667
-0.3	7	1045	360	10184000
-0.3	7	1045	365	10183333
-0.3	7	1045	370	10217333
-0.3	7	1050	330	9995333
-0.3	7	1050	335	10096667
-0.3	7	1050	340	10042000
-0.3	7	1050	345	10072000
-0.3	7	1050	350	10019333
-0.3	7	1050	355	10186667
-0.3	7	1050	360	10184000
-0.3	7	1050	365	10183333
-0.3	7	1050	370	10217333
-0.3	7	1055	330	9995333
-0.3	7	1055	335	10096667
-0.3	7	1055	340	10042000
-0.3	7	1055	345	10072000
-0.3	7	1055	350	10019333
-0.3	7	1055	355	10186667
-0.3	7	1055	360	10184000
-0.3	7	1055	365	10183333
-0.3	7	1055	370	10217333
-0.3	7	1060	330	9995333
-0.3	7	1060	335	10096667
-0.3	7	1060	340	10042000
-0.3	7	1060	345	10072000
-0.3	7	1060	350	10019333
-0.3	7	1060	355	10186667
-0.3	7	1060	360	10184000
-0.3	7	1060	365	10183333
-0.3	7	1060	370	10217333
-0.3	7	1065	330	9995333
-0.3	7	1065	335	10096667
-0.3	7	1065	340	10042000
