cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.3	5	1025	330	10375333
-0.3	5	1025	331	10375333
-0.3	5	1025	332	10374667
-0.3	5	1025	333	10308667
-0.3	5	1025	334	10308667
-0.3	5	1025	335	10308667
-0.3	5	1025	336	10256000
-0.3	5	1025	337	10255333
-0.3	5	1025	338	10254667
-0.3	5	1025	339	10254667
-0.3	5	1025	340	10254000
-0.3	5	1026	330	10375333
-0.3	5	1026	331	10375333
-0.3	5	1026	332	10374667
-0.3	5	1026	333	10308667
-0.3	5	1026	334	10308667
-0.3	5	1026	335	10308667
-0.3	5	1026	336	10256000
-0.3	5	1026	337	10255333
-0.3	5	1026	338	10254667
-0.3	5	1026	339	10254667
-0.3	5	1026	340	10254000
-0.3	5	1027	330	10375333
-0.3	5	1027	331	10375333
-0.3	5	1027	332	10374667
-0.3	5	1027	333	10308667
-0.3	5	1027	334	10308667
-0.3	5	1027	335	10308667
-0.3	5	1027	336	10256000
-0.3	5	1027	337	10255333
-0.3	5	1027	338	10254667
-0.3	5	1027	339	10254667
-0.3	5	1027	340	10254000
-0.3	5	1028	330	10375333
-0.3	5	1028	331	10375333
-0.3	5	1028	332	10374667
-0.3	5	1028	333	10308667
-0.3	5	1028	334	10308667
-0.3	5	1028	335	10308667
-0.3	5	1028	336	10256000
-0.3	5	1028	337	10255333
-0.3	5	1028	338	10254667
-0.3	5	1028	339	10254667
-0.3	5	1028	340	10254000
-0.3	5	1029	330	10375333
-0.3	5	1029	331	10375333
-0.3	5	1029	332	10374667
-0.3	5	1029	333	10308667
-0.3	5	1029	334	10308667
-0.3	5	1029	335	10308667
-0.3	5	1029	336	10256000
-0.3	5	1029	337	10255333
-0.3	5	1029	338	10254667
-0.3	5	1029	339	10254667
-0.3	5	1029	340	10254000
-0.3	5	1030	330	10375333
-0.3	5	1030	331	10375333
-0.3	5	1030	332	10374667
-0.3	5	1030	333	10308667
-0.3	5	1030	334	10308667
-0.3	5	1030	335	10308667
-0.3	5	1030	336	10256000
-0.3	5	1030	337	10255333
-0.3	5	1030	338	10254667
-0.3	5	1030	339	10254667
-0.3	5	1030	340	10254000
-0.3	5	1031	330	10375333
-0.3	5	1031	331	10375333
-0.3	5	1031	332	10374667
-0.3	5	1031	333	10308667
-0.3	5	1031	334	10308667
-0.3	5	1031	335	10308667
-0.3	5	1031	336	10256000
-0.3	5	1031	337	10255333
-0.3	5	1031	338	10254667
