fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 183633	-0.0974208255895064	5402	1105	16	5	9790000	1
20220517 183747	-0.884524640528252	2023	488	12	5	10027000	2
20220517 184838	-0.0974208255895064	5402	1105	16	5	9790000	3
20220517 184912	-0.884524640528252	2023	488	12	5	10027000	4
20220517 184943	-0.745294187242689	4092	600	11	5	10662000	5
20220517 185008	-0.0164319976509432	1126	155	6	5	9693000	6
20220517 185035	-0.232464154265472	7478	980	13	5	8452000	7
20220517 185105	-0.3057848818411	2879	1168	14	5	9608000	8
20220517 185133	-0.472649573006493	5802	1347	19	5	9614000	9
20220517 185159	-0.825840101034555	6131	1717	8	5	9755000	10
20220517 185226	-0.132282194324944	4578	1769	16	5	9852000	11
20220517 185249	-0.388516852234898	7950	703	7	5	8452000	12
20220517 185308	0.0326842843060149	3587	752	10	5	0	13
20220517 185326	-0.948893934117223	1789	63	4	5	9691000	14
20220517 185359	-0.691824375596479	6673	366	18	5	9120000	15
20220517 185422	-0.791500771596717	5308	1638	6	5	9797000	16
20220517 185451	-0.388983419832463	5461	1004	19	5	10047000	17
20220517 185510	0.0320874626282603	1380	432	14	5	0	18
20220517 185539	-0.253689526515452	6227	1260	17	5	9840000	19
20220517 185558	-0.107814417030966	11	1	4	5	9101000	20
20220517 185627	-0.792525265836081	2513	361	8	5	10271000	21
20220517 185700	-0.765686858734458	3474	473	10	5	10708000	22
20220517 185715	-0.044929688169132	497	3	3	5	8767000	23
20220517 185747	-0.680137599827964	2468	1231	10	5	10271000	24
20220517 185818	-0.524045878023309	3954	976	15	5	10636000	25
20220517 185849	-0.753901002910419	3617	1318	14	5	10007000	26
20220517 185918	-0.977467550162629	4542	793	9	5	10319000	27
20220517 185950	-0.867744546242727	7223	5	10	5	8184000	28
20220517 190021	-0.823494983725917	3127	955	10	5	10060000	29
20220517 190050	-0.449814152955661	5090	1637	14	5	10027000	30
20220517 190130	-0.648512407498983	2732	506	13	5	10350000	31
20220517 190159	-0.547852378724437	1154	311	6	5	10668000	32
20220517 190224	-0.663261506291651	3812	516	6	5	10708000	33
20220517 190247	-0.387621929389608	2563	1	6	5	8772000	34
20220517 190312	-0.672613290209944	1222	611	6	5	10781000	35
20220517 190345	-0.646251887694684	966	475	9	5	9739000	36
20220517 190407	-0.555217430737136	2229	1114	5	5	10419000	37
20220517 190431	-0.999941001470445	3480	595	6	5	10673000	38
20220517 190501	-0.426526502557286	2856	1229	16	5	10274000	39
20220517 190530	-0.593387384552784	4415	1140	13	5	9958000	40
20220517 190603	-0.748243855159172	3506	481	15	5	10708000	41
20220517 190633	-0.0971907786692651	5439	1263	20	5	9840000	42
20220517 190702	-0.552594294634555	3762	1881	7	5	10195000	43
20220517 190738	-0.691594872352209	1864	806	20	5	9744000	44
20220517 190807	-0.679772914521671	3375	1165	7	5	10252000	45
20220517 190838	-0.999608869093546	3667	1821	8	5	9956000	46
20220517 190902	-0.616434963013136	1405	445	5	5	10826000	47
20220517 190919	-0.999969722279672	5624	751	3	5	9189000	48
20220517 190956	-0.999997870275168	3304	635	16	5	10673000	49
