fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220524 221018	415	27	823	11	5	11490000	1
20220524 222308	629	23	616	28	5	10409000	2
20220524 223233	799	10	457	24	5	11110000	3
20220524 223356	220	3	914	40	5	10057000	4
20220524 223544	128	17	1044	20	5	10492000	5
20220524 230207	846	24	969	44	5	10193000	6
20220524 232659	666	27	174	50	5	8429000	7
20220524 232823	537	5	283	7	5	10291000	8
20220524 233131	484	7	1476	17	5	11241000	9
20220524 234233	554	14	494	33	5	10373000	10
20220524 234507	766	20	688	3	5	11117000	11
20220524 235204	274	13	1344	45	5	10832000	12
20220524 235503	941	2	11	30	5	9130000	13
20220524 235730	376	29	1284	9	5	11607000	14
20220524 235938	170	18	253	17	5	10286000	15
20220525 001750	953	12	1186	36	5	10976000	16
20220525 002447	1000	30	1315	10	5	11631000	17
20220525 002734	806	13	1283	4	5	11153000	18
20220525 003254	609	30	1380	13	5	11656000	19
20220525 003920	994	30	881	9	5	11730000	20
20220525 004124	694	30	962	2	5	10642000	21
20220525 004943	1000	22	798	12	5	11683000	22
20220525 005650	1000	30	814	10	5	11107000	23
20220525 010434	938	20	875	12	5	11546000	24
20220525 010554	374	18	784	3	5	11214000	25
20220525 010841	956	25	863	2	5	10913000	26
20220525 011334	554	23	1334	13	5	11900000	27
20220525 012039	586	26	1314	18	5	11379000	28
20220525 012338	462	22	1362	9	5	11831000	29
20220525 012902	632	17	1363	13	5	11823000	30
20220525 013358	516	17	757	14	5	11160000	31
20220525 014109	891	22	1363	12	5	11714000	32
20220525 014213	111	20	1338	12	5	11352000	33
20220525 014633	622	25	1335	10	5	11698000	34
20220525 015151	598	18	1329	13	5	11805000	35
20220525 020008	997	27	915	12	5	11797000	36
20220525 020437	510	21	1415	13	5	11778000	37
20220525 021051	1000	24	1452	9	5	11896000	38
20220525 021936	1000	24	1226	13	5	11527000	39
20220525 022525	999	24	1053	8	5	11510000	40
20220525 023120	948	20	1345	9	5	11498000	41
20220525 023438	515	26	1485	9	5	12066000	42
20220525 023725	477	25	1491	8	5	11498000	43
20220525 024241	616	25	631	12	5	11400000	44
20220525 024831	578	23	1347	15	5	11689000	45
20220525 025217	542	27	1500	10	5	11775000	46
20220525 025725	822	30	1500	9	5	11745000	47
20220525 030109	545	9	1362	14	5	11448000	48
20220525 030248	242	24	1471	9	5	11880000	49
20220525 030648	633	25	1500	9	5	11884000	50
20220525 030943	480	30	912	8	5	11548000	51
