fecha	num.trees	mtry	min.node.size	max.depth	xval_folds	ganancia	iteracion
20220525 212324	555	19	2323	18	5	11656000	1
20220525 213020	626	17	2116	23	5	11675000	2
20220525 213527	683	11	1956	22	5	11711000	3
20220525 213833	490	9	2414	27	5	11551000	4
20220525 214300	459	15	2543	21	5	11512000	5
20220525 215103	699	18	2469	28	5	11284000	6
20220525 215913	639	19	1673	30	5	11374000	7
20220525 220315	596	10	1783	16	5	11754000	8
20220525 220654	578	10	2976	20	5	11227000	9
20220525 221201	601	13	1994	25	5	11791000	10
20220525 221829	672	16	2188	15	5	11391000	11
20220525 222237	508	13	2843	29	5	11479000	12
20220525 222647	731	8	1510	24	5	11643000	13
20220525 223315	542	20	2784	17	5	11483000	14
20220525 223800	473	15	1752	19	5	11692000	15
20220525 224338	735	12	2686	26	5	11518000	16
20220525 224819	541	13	1990	23	5	11603000	17
20220525 225232	618	10	1959	21	5	11561000	18
20220525 225721	599	12	1880	21	5	11869000	19
20220525 230411	599	17	1569	21	5	11699000	20
20220525 230730	599	8	1929	15	5	11248000	21
20220525 231200	571	12	2271	21	5	11655000	22
20220525 231545	565	10	2355	22	5	11518000	23
20220525 231842	466	9	1880	21	5	11638000	24
20220525 232343	620	12	1727	21	5	11959000	25
20220525 232857	643	12	1582	21	5	11783000	26
20220525 233415	655	12	1805	22	5	11911000	27
20220525 233816	482	12	1750	21	5	11798000	28
20220525 234311	603	12	1763	24	5	11994000	29
20220525 234828	605	13	1763	25	5	11848000	30
20220525 235327	614	12	1762	30	5	11825000	31
20220525 235811	582	12	1734	23	5	11932000	32
20220526 000247	612	11	1752	24	5	11636000	33
20220526 000750	620	12	1757	24	5	11872000	34
20220526 001245	603	12	1713	20	5	11874000	35
20220526 001739	602	12	1742	23	5	11882000	36
20220526 002223	584	12	1774	22	5	11683000	37
20220526 002650	544	12	1764	25	5	11881000	38
20220526 003224	689	12	1765	24	5	11766000	39
20220526 003703	570	12	1724	21	5	12055000	40
20220526 004133	561	12	1725	17	5	11996000	41
20220526 004553	533	12	1724	22	5	12183000	42
20220526 005001	505	12	1725	23	5	12098000	43
20220526 005413	512	12	1724	27	5	12227000	44
20220526 005828	520	12	1724	27	5	12248000	45
20220526 010247	530	12	1721	27	5	12115000	46
20220526 010711	537	12	1724	27	5	12062000	47
20220526 011116	520	12	2306	30	5	11569000	48
20220526 011522	736	8	2120	27	5	11293000	49
20220526 012209	555	19	2296	25	5	11689000	50
20220526 012613	520	12	2447	27	5	11483000	51
20220526 012908	537	8	2999	22	5	10935000	52
20220526 013323	519	12	1729	25	5	12057000	53
20220526 013737	519	12	1723	23	5	12178000	54
20220526 014152	517	12	1724	30	5	12123000	55
20220526 014608	523	12	1724	20	5	12115000	56
20220526 015012	485	12	1723	27	5	11979000	57
20220526 015433	527	12	1713	22	5	12123000	58
20220526 015847	515	12	1706	25	5	11998000	59
20220526 020302	519	12	1724	28	5	12248000	60
20220526 020716	518	12	1790	27	5	11823000	61
20220526 021141	542	12	1701	19	5	11914000	62
20220526 021558	520	12	1634	26	5	11878000	63
20220526 022055	612	12	1799	26	5	11810000	64
20220526 022510	518	12	1735	27	5	11953000	65
20220526 023105	520	17	1666	27	5	11550000	66
20220526 023522	520	12	1656	27	5	11939000	67
20220526 023944	533	12	1724	26	5	12193000	68
20220526 024405	533	12	1819	26	5	11766000	69
20220526 024726	522	9	1727	19	5	11438000	70
20220526 025143	519	12	1683	21	5	12140000	71
20220526 025558	521	12	1723	26	5	12179000	72
20220526 030009	511	12	1695	21	5	12013000	73
20220526 030428	529	12	1725	24	5	12182000	74
20220526 030849	529	12	1685	23	5	12084000	75
20220526 031304	518	12	1725	27	5	12240000	76
20220526 031729	540	12	1726	28	5	12052000	77
20220526 032122	691	8	2166	22	5	11288000	78
20220526 032528	500	12	1722	28	5	11989000	79
20220526 033003	561	12	1725	27	5	12118000	80
20220526 033431	544	12	1725	29	5	12038000	81
20220526 033829	483	12	1683	19	5	12074000	82
20220526 034225	519	11	1724	25	5	11797000	83
20220526 034656	561	12	1642	17	5	11928000	84
20220526 035112	519	12	1716	29	5	12193000	85
20220526 035526	516	12	1709	27	5	12054000	86
20220526 035955	548	12	1716	28	5	11990000	87
20220526 040429	560	12	1723	25	5	12071000	88
20220526 040857	543	12	1713	28	5	11996000	89
20220526 041312	520	12	1708	23	5	12115000	90
20220526 041728	519	12	1737	28	5	11898000	91
20220526 042432	558	19	1724	22	5	11688000	92
20220526 043024	730	12	1727	21	5	12017000	93
20220526 043426	490	12	1683	21	5	11901000	94
20220526 043831	497	12	1724	20	5	12024000	95
20220526 044333	586	13	1689	17	5	11796000	96
20220526 044910	527	17	2561	19	5	11301000	97
20220526 045454	710	12	1763	24	5	12012000	98
20220526 050012	655	12	1763	24	5	11843000	99
20220526 050525	645	12	1723	25	5	11961000	100
20220526 050944	522	12	1720	28	5	12127000	101
20220526 051411	542	12	1735	24	5	11821000	102
20220526 051921	635	12	1724	28	5	11969000	103
20220526 052334	518	12	1717	24	5	12124000	104
20220526 052750	527	12	1683	18	5	11979000	105
20220526 053207	520	12	1686	29	5	12101000	106
20220526 053623	521	12	1724	24	5	12185000	107
20220526 054016	474	12	1690	18	5	11962000	108
20220526 054404	476	12	1675	16	5	11957000	109
20220526 054829	537	12	1723	25	5	12057000	110
20220526 055250	528	12	1699	29	5	12126000	111
20220526 055707	521	12	1716	24	5	12138000	112
20220526 060209	619	12	1725	24	5	11951000	113
20220526 060713	619	12	1724	24	5	11959000	114
20220526 061244	679	12	1723	23	5	11898000	115
20220526 061840	736	12	1724	28	5	11957000	116
20220526 062424	706	12	1725	29	5	11962000	117
20220526 063008	706	12	1726	28	5	11961000	118
20220526 063552	706	12	1699	29	5	11888000	119
20220526 064024	551	12	1686	21	5	11906000	120
20220526 064620	735	12	1723	25	5	12021000	121
20220526 065038	521	12	1691	22	5	12104000	122
20220526 065627	718	12	1715	22	5	11959000	123
20220526 070036	504	12	1724	22	5	12166000	124
20220526 070441	506	12	1716	17	5	12060000	125
20220526 070904	527	12	1675	28	5	11998000	126
20220526 071346	576	12	1724	29	5	11943000	127
20220526 071935	719	12	1744	24	5	11831000	128
20220526 072349	511	12	1724	21	5	12169000	129
20220526 072757	501	12	1716	29	5	12001000	130
20220526 073218	528	12	1717	21	5	12074000	131
20220526 073635	522	12	1725	25	5	12182000	132
20220526 074057	515	12	1668	19	5	11964000	133
20220526 074552	566	12	1703	26	5	11929000	134
20220526 075023	544	12	1649	24	5	11930000	135
20220526 075459	542	12	1691	30	5	12101000	136
20220526 075927	533	12	1694	26	5	12060000	137
20220526 080524	732	12	1767	24	5	11846000	138
20220526 081035	634	12	1710	20	5	11954000	139
20220526 081514	565	12	1748	29	5	11704000	140
20220526 082034	661	12	1710	28	5	11838000	141
20220526 082432	481	12	1714	21	5	12001000	142
20220526 082834	503	13	2850	16	5	11484000	143
20220526 083521	666	15	1604	29	5	11541000	144
20220526 083957	558	12	1682	29	5	11928000	145
20220526 084412	520	12	1737	25	5	11894000	146
20220526 084826	512	12	1725	30	5	12166000	147
20220526 085644	645	20	2042	19	5	11691000	148
20220526 090242	738	12	1707	22	5	11862000	149
20220526 090826	710	12	1778	28	5	12010000	150
20220526 091234	512	12	1719	18	5	12051000	151
20220526 091653	529	12	1708	25	5	12060000	152
20220526 092234	710	12	1791	24	5	11739000	153
20220526 092647	528	12	1644	17	5	11928000	154
20220526 093054	506	12	1714	22	5	12048000	155
20220526 093520	545	12	1629	20	5	11945000	156
20220526 093934	516	12	1691	29	5	11990000	157
20220526 094349	520	12	1719	26	5	12123000	158
20220526 094806	525	12	1736	26	5	11898000	159
20220526 095156	469	12	1723	19	5	12039000	160
20220526 095543	458	12	1718	24	5	11869000	161
20220526 100129	713	12	1764	30	5	12015000	162
20220526 100641	643	12	1787	25	5	11813000	163
20220526 101234	744	12	1725	16	5	12040000	164
20220526 101655	535	12	1712	29	5	12179000	165
20220526 102118	534	12	1704	30	5	12062000	166
