fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220616 120604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	999983	0.169664147019503	0.481609219573438	1774	520	0.0408006420029172	9042000	1
20220616 120617	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	999983	0.0957776807424379	0.955905296383426	3672	643	0.0268343506705908	11857000	2
20220616 120628	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	999983	0.185243558907881	0.643981572678313	2636	823	0.0313019191244772	10957000	3
20220616 120639	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	999983	0.157832347507705	0.305529836323112	5482	432	0.0373826275080016	10477000	4
20220616 120659	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	999983	0.0653981569663156	0.724497425919399	4192	718	0.023017924890155	12717000	5
20220616 120710	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	999983	0.10564531692164	0.692201795680448	7047	407	0.0494636804549373	7534000	6
20220616 120721	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	999983	0.274884178636479	0.527461514389142	3271	42	0.0198801750394826	12042000	7
20220616 120734	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	999983	0.148516867771395	0.22611770324409	691	728	0.02799965517479	9919000	8
20220616 120751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	6	TRUE	999983	0.254977868330083	0.5896021584142	322	342	0.0343424415730018	6888000	9
20220616 120838	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	345	TRUE	999983	0.0162924240452703	0.628274165000767	7288	524	0.0149781098691165	13238000	10
