fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220620 222551	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	23	TRUE	999983	0.180839553323874	0.832044013410008	1570	1066	0.0270861891846012	48.4359313293161	51.418981970554	11674000	1
20220620 222602	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	42	TRUE	999983	0.263640833674913	0.529973439905526	2608	338	0.0371908421981581	44.6955685545358	41.605945486143	9524000	2
20220620 222619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	110	TRUE	999983	0.0970049460366135	0.417754854667666	2377	295	0.0343408503109545	69.585177368052	43.7131236506892	9205000	3
20220620 222637	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	112	TRUE	999983	0.0700065752063944	0.563075365425487	3165	930	0.0385026425805076	32.4812206165266	14.1499719432821	9462000	4
20220620 222644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	37	TRUE	999983	0.209875276585392	0.700711561040953	2512	751	0.0194822880677142	37.9836476599199	62.8967146306033	12819000	5
20220620 222650	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	28	TRUE	999983	0.103465987080542	0.918518468331812	4844	672	0.0248202859056099	65.5377872055396	47.1747097916835	10443000	6
20220620 222656	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	35	TRUE	999983	0.226110474441749	0.896308639465964	2763	1146	0.0357747899420377	82.6737312300663	80.4459214451656	2123000	7
20220620 222707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	66	TRUE	999983	0.189317698452339	0.593465892438378	1147	609	0.0418120333327568	17.6657271995542	64.8810342960392	9626000	8
20220620 222745	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	307	TRUE	999983	0.046192684015176	0.449709379985662	2868	876	0.0489910197740149	18.5069119225123	90.3549853496121	7142000	9
20220620 222758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	159	TRUE	999983	0.0785639283973225	0.64395784485553	4972	176	0.0440044660615968	50.5557259686092	27.1121079110474	3021000	10
20220620 222805	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	7	TRUE	999983	0.234742957120096	0.391289561454739	3638	832	0.0121485889122899	88.4901461282945	36.3906489244463	11322000	11
20220620 222818	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	133	TRUE	999983	0.152977129790899	0.811562592343294	4221	139	0.0182754509728208	8.66385771660134	23.1825758553376	12428000	12
20220620 222824	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	53	TRUE	999983	0.197959212314537	0.772731993227665	1660	70	0.00863656186633134	26.2608574046421	30.4530176924475	11078000	13
20220620 222841	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	181	TRUE	999983	0.144270641597104	0.225456427596509	3460	53	0.0322846359668239	81.9026293141568	98.5138296939632	3407000	14
20220620 222849	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1	TRUE	999983	0.174639057845426	0.496711722615042	3340	808	0.0406454531644288	96.9125611507999	14.8860779674058	0	15
20220620 222857	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	63	TRUE	999983	0.122555426403664	0.745409848933507	4067	1367	0.0318878390551184	40.5921182927809	74.0348638201665	10616000	16
20220620 222905	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	48	TRUE	999983	0.126094492974891	0.984652658937765	2235	553	0.0161155360147296	77.3063940528248	77.7999598682592	11401000	17
20220620 223004	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	583	TRUE	999983	0.0342070822402768	0.265269591300083	3733	1251	0.0129745614850738	4.26442027424595	56.2637637003458	13206000	18
20220620 223036	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	306	TRUE	999983	0.0118075620244157	0.677494527519281	3954	1307	0.0219588368749274	72.1588249376509	9.10425809644429	10700000	19
20220620 223050	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	97	TRUE	999983	0.271097711801662	0.234857069574563	1880	1010	0.0236178266476989	0.505832448003015	82.4384790221562	12698000	20
20220620 223056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	18	TRUE	999983	0.252290766952543	0.878594442496875	4536	1466	0.0103435125973192	63.3024998591281	33.5155681640442	11317000	21
20220620 223106	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	22	TRUE	999983	0.0915186457170473	0.317946388366233	1725	542	0.0148963521013641	54.3139827229814	6.81239958669591	12038000	22
20220620 223111	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	21	TRUE	999983	0.288022055551825	0.728052227558302	3108	1185	0.0458222280429687	23.26935418948	0.430257072106802	7652000	23
20220620 223148	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	276	TRUE	999983	0.0286965731604557	0.369228866337133	1344	1105	0.0292261927518883	57.160781744668	87.0631106888011	11403000	24
20220620 223200	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	70	TRUE	999983	0.242704689972618	0.461536612920463	4674	393	0.0202580397906353	30.591565004683	60.3295127403856	12784000	25
20220620 223205	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1	TRUE	999983	0.294038410457932	0.621902502235025	1095	252	0.0445653976901667	92.3408117278346	68.8446374743113	0	26
20220620 223217	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	85	TRUE	999983	0.0583881358708355	0.967671192836549	2100	452	0.0286797460851847	12.5930221518502	19.2226150929595	11600000	27
20220620 223225	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1	TRUE	999983	0.155563229264475	0.298045042396656	4418	1417	0.0477116629996176	95.4471247062819	95.4298919016894	0	28
20220620 223240	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	67	TRUE	999983	0.0898463343650776	0.355176761992386	2327	1086	0.0271595655426524	12.9989799925837	46.938419980953	12167000	29
20220620 223319	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	459	TRUE	999983	0.0377880705973763	0.593331446808204	4172	941	0.014563334679442	33.6537782497311	69.4174213679322	12128000	30
20220620 223334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	99	TRUE	999983	0.299372638191282	0.279416002635918	4018	1410	0.0164006972489697	0.0847827345183677	52.4333088699472	12890000	31
