fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220616 144921	0	0	0	1	auto	depthwise	256	0	1	0.169664147019503	0.481609219573438	2	16	0.0408006420029172	18	6090000	1
20220616 150016	0	0	0	1	auto	depthwise	256	0	1	0.0957776807424379	0.955905296383426	5	20	0.0268343506705908	28	9683000	2
20220616 150628	0	0	0	1	auto	depthwise	256	0	1	0.185243558907881	0.643981572678313	3	25	0.0313019191244772	10	7895000	3
20220616 150908	0	0	0	1	auto	depthwise	256	0	1	0.157832347507705	0.305529836323112	7	13	0.0373826275080016	27	8686000	4
20220616 151919	0	0	0	1	auto	depthwise	256	0	1	0.0653981569663156	0.724497425919399	5	22	0.023017924890155	25	10848000	5
20220616 152539	0	0	0	1	auto	depthwise	256	0	1	0.10564531692164	0.692201795680448	9	13	0.0494636804549373	44	7367000	6
20220616 152720	0	0	0	1	auto	depthwise	256	0	1	0.274884178636479	0.527461514389142	4	2	0.0198801750394826	121	12413000	7
20220616 152917	0	0	0	1	auto	depthwise	256	0	1	0.148516867771395	0.22611770324409	0	22	0.02799965517479	2	1399000	8
20220616 153243	0	0	0	1	auto	depthwise	256	0	1	0.254977868330083	0.5896021584142	0	11	0.0343424415730018	4	6292000	9
20220616 155304	0	0	0	1	auto	depthwise	256	0	1	0.0162924240452703	0.628274165000767	10	16	0.0149781098691165	120	13271000	10
20220616 155817	0	0	0	1	auto	depthwise	256	0	1	0.238836721583735	0.788749627387151	8	24	0.00878811281290837	14	11026000	11
20220616 160437	0	0	0	1	auto	depthwise	256	0	1	0.11632534011174	0.820285053048283	6	7	0.0306210996141696	85	10580000	12
20220616 160642	0	0	0	1	auto	depthwise	256	0	1	0.129208551356453	0.279593881675974	7	5	0.0133262709840589	87	12277000	13
20220616 161010	0	0	0	1	auto	depthwise	256	0	1	0.21064154529653	0.398928059265018	4	28	0.0444412010421123	7	6763000	14
20220616 162937	0	0	0	1	auto	depthwise	256	0	1	0.0491742083641002	0.88306680880487	2	30	0.0112735727224693	36	11715000	15
20220616 163026	0	0	0	1	auto	depthwise	256	0	1	0.285611808916554	0.420207212166861	6	3	0.0475800218007256	7	7703000	16
20220616 164215	0	0	0	1	auto	depthwise	256	0	1	0.0729776381946867	0.871651644650847	8	27	0.0437354291245962	39	7397000	17
20220616 164515	0	0	0	1	auto	depthwise	256	0	1	0.223206691156956	0.963082350604236	1	6	0.0183928405264548	5	9940000	18
20220616 164727	0	0	0	1	auto	depthwise	256	0	1	0.26712985932047	0.344125520065427	10	19	0.0229086908870765	11	10314000	19
20220616 165828	0	0	0	1	auto	depthwise	256	0	1	0.034126012095483	0.474170783841983	1	10	0.0392481365682518	135	8391000	20
20220616 172054	0	0	0	1	auto	depthwise	256	0	1	0.0103551382470809	0.583013143163395	6	2	0.00834390120263465	1903	11437000	21
20220616 172306	0	0	0	1	auto	depthwise	256	0	1	0.103594958112182	0.571957637657245	10	2	0.0159505775717217	129	13506000	22
20220616 172516	0	0	0	1	auto	depthwise	256	0	1	0.213364024160929	0.581517949492075	8	2	0.0166301398170973	159	13196000	23
20220616 173843	0	0	0	1	auto	depthwise	256	0	1	0.0106395673896681	0.488862633102727	9	3	0.0184880624024178	675	13430000	24
20220616 174327	0	0	0	1	auto	depthwise	256	0	1	0.0791038178120018	0.528362939806095	10	8	0.0171477179732897	42	12883000	25
20220616 180106	0	0	0	1	auto	depthwise	256	0	1	0.0100068203038739	0.694143357830892	9	2	0.015409127508201	1153	13151000	26
20220616 184150	0	0	0	1	auto	depthwise	256	0	1	0.0100169442214453	0.653103169378387	10	30	0.0142041685465225	248	13367000	27
20220616 185901	0	0	0	1	auto	depthwise	256	0	1	0.0100187009108144	0.405361314647214	10	2	0.0141912817177615	1820	13166000	28
20220616 190644	0	0	0	1	auto	depthwise	256	0	1	0.0171881902280111	0.511601861339637	10	2	0.0226096608763097	578	12753000	29
20220616 191709	0	0	0	1	auto	depthwise	256	0	1	0.0267068057742797	0.550667459448008	7	2	0.0180296927558235	941	13046000	30
