fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220616 192429	0	0	0	1	hist	lossguide	256	0	1	0.169664147019503	0.481609219573438	2	513	0.0408006420029172	12	5487000	1
20220616 192523	0	0	0	1	hist	lossguide	256	0	1	0.0957776807424379	0.955905296383426	5	637	0.0268343506705908	20	9983000	2
20220616 192601	0	0	0	1	hist	lossguide	256	0	1	0.185243558907881	0.643981572678313	3	820	0.0313019191244772	11	8158000	3
20220616 192633	0	0	0	1	hist	lossguide	256	0	1	0.157832347507705	0.305529836323112	7	424	0.0373826275080016	10	7692000	4
20220616 192732	0	0	0	1	hist	lossguide	256	0	1	0.0653981569663156	0.724497425919399	5	714	0.023017924890155	34	10625000	5
20220616 192814	0	0	0	1	hist	lossguide	256	0	1	0.10564531692164	0.692201795680448	9	398	0.0494636804549373	33	7013000	6
20220616 192840	0	0	0	1	hist	lossguide	256	0	1	0.274884178636479	0.527461514389142	4	28	0.0198801750394826	18	9690000	7
20220616 192910	0	0	0	1	hist	lossguide	256	0	1	0.148516867771395	0.22611770324409	0	724	0.02799965517479	1	878000	8
20220616 192937	0	0	0	1	hist	lossguide	256	0	1	0.254977868330083	0.5896021584142	0	333	0.0343424415730018	1	1425000	9
20220616 193155	0	0	0	1	hist	lossguide	256	0	1	0.0162924240452703	0.628274165000767	10	517	0.0149781098691165	131	13392000	10
20220616 193222	0	0	0	1	hist	lossguide	256	0	1	0.238836721583735	0.788749627387151	8	808	0.00878811281290837	9	10888000	11
20220616 193301	0	0	0	1	hist	lossguide	256	0	1	0.11632534011174	0.820285053048283	6	208	0.0306210996141696	17	9382000	12
20220616 193336	0	0	0	1	hist	lossguide	256	0	1	0.129208551356453	0.279593881675974	7	138	0.0133262709840589	13	12163000	13
20220616 193415	0	0	0	1	hist	lossguide	256	0	1	0.21064154529653	0.398928059265018	4	951	0.0444412010421123	12	6410000	14
20220616 193535	0	0	0	1	hist	lossguide	256	0	1	0.0491742083641002	0.88306680880487	2	1007	0.0112735727224693	22	11926000	15
20220616 193600	0	0	0	1	hist	lossguide	256	0	1	0.285611808916554	0.420207212166861	6	54	0.0475800218007256	5	7470000	16
20220616 193649	0	0	0	1	hist	lossguide	256	0	1	0.0729776381946867	0.871651644650847	8	903	0.0437354291245962	34	7879000	17
20220616 193723	0	0	0	1	hist	lossguide	256	0	1	0.223206691156956	0.963082350604236	1	164	0.0183928405264548	4	7569000	18
20220616 193749	0	0	0	1	hist	lossguide	256	0	1	0.26712985932047	0.344125520065427	10	610	0.0229086908870765	17	10384000	19
20220616 193949	0	0	0	1	hist	lossguide	256	0	1	0.034126012095483	0.474170783841983	1	301	0.0392481365682518	41	3924000	20
