Feature	Gain	Cover	Frequency
ctrx_quarter	0.144417824587142	0.0363344917470341	0.0296150049358342
mpasivos_margen	0.0956526436463546	0.0303053512357358	0.0281342546890425
cpayroll_trx	0.0935300916780551	0.030976404208423	0.0108588351431392
mtarjeta_visa_consumo	0.0731731526204096	0.0156786086324353	0.0192497532082922
mcaja_ahorro	0.0724771719769746	0.0157389758589632	0.0256663376110563
mpayroll	0.0516600604059515	0.0519728146776879	0.0207305034550839
mprestamos_personales	0.0316467885041446	0.0354565578136895	0.0172754195459033
mrentabilidad_annual	0.0289550515549596	0.0326180158929491	0.0429417571569595
Visa_msaldototal	0.0244890277749893	0.0195327449554368	0.0241855873642646
ctarjeta_visa_trx	0.022735939979446	0.012227128623504	0.016781836130306
mcuentas_saldo	0.0183982979691491	0.0304460780118733	0.0306021717670286
mactivos_margen	0.0183608607032391	0.0239676064154952	0.018756169792695
mcaja_ahorro_dolares	0.0160978316509934	0.0254465254139724	0.0296150049358342
Master_Fvencimiento	0.0137548481111949	0.0297255515659492	0.033563672260612
Visa_fechaalta	0.0133576506018846	0.016228659547073	0.0207305034550839
mcuenta_corriente	0.0131492616543129	0.0173326193483428	0.018756169792695
cliente_edad	0.0128869974582271	0.0309461313934945	0.0350444225074038
Master_fechaalta	0.0127788682693315	0.0173711544674563	0.0276406712734452
Visa_mpagominimo	0.0125474946938403	0.0153834403242258	0.0236920039486673
Visa_msaldopesos	0.0124435817909179	0.0157615550303188	0.0182625863770977
mrentabilidad	0.0112559243476929	0.0178480934677342	0.025172754195459
chomebanking_trx	0.0101295084647481	0.0208729888160625	0.0217176702862784
Visa_Fvencimiento	0.0100884224911413	0.0155564246523295	0.0246791707798618
Master_mfinanciacion_limite	0.0091549492237149	0.0112116234229076	0.0207305034550839
cliente_antiguedad	0.00903149176491192	0.0141362449500011	0.0231984205330701
ccomisiones_otras	0.00902585627330019	0.0163414327515619	0.0157946692991115
numero_de_cliente	0.00862797131076016	0.0124498205792143	0.0162882527147088
mcomisiones_otras	0.00858018107044167	0.00745522982390755	0.010365251727542
Master_mlimitecompra	0.00830368715451801	0.0133955143270417	0.018756169792695
mcomisiones	0.00712396499393335	0.010017268884759	0.0162882527147088
Visa_mfinanciacion_limite	0.00676779366950501	0.0105346496897315	0.0182625863770977
Visa_mpagospesos	0.00641070980640152	0.0138053402249053	0.0202369200394867
Visa_mconsumospesos	0.00585861549104653	0.00711455751653646	0.010365251727542
ccaja_ahorro	0.00550730971760523	0.0286880581550252	0.010365251727542
mtransferencias_recibidas	0.00541590271016971	0.00736724353197336	0.0113524185587364
ctarjeta_debito_trx	0.00472917291297483	0.0130453531925973	0.0123395853899309
Visa_mlimitecompra	0.00466017828458888	0.0107699525307767	0.0118460019743337
cproductos	0.00450431623740179	0.0086906059775708	0.00937808489634748
mcuenta_debitos_automaticos	0.00448356254188816	0.00822110416608012	0.00839091806515301
Master_mpagospesos	0.00441429690141983	0.0221444581932705	0.0133267522211254
cprestamos_personales	0.00417546818474542	0.00189193385585067	0.00148075024679171
ctransferencias_recibidas	0.00408773490111179	0.0157997890938142	0.00789733464955577
mtarjeta_visa_debitos_automaticos	0.00377791385809526	0.00638831101386891	0.00641658440276407
mpagomiscuentas	0.00373533980304617	0.0160167275421568	0.00937808489634748
mcomisiones_mantenimiento	0.00354749126618132	0.00378318754900865	0.00641658440276407
ctarjeta_visa_trx2	0.00348636404891578	0.00781088801093389	0.0108588351431392
Visa_cconsumos	0.00334538341933512	0.0034755421579611	0.0069101678183613
Master_msaldopesos	0.00320765880660819	0.00560674832893225	0.0054294175715696
ccallcenter_trx	0.00309583942998936	0.017524815484963	0.00592300098716683
Visa_mconsumototal	0.00280639125273696	0.00591259853647944	0.00888450148075025
thomebanking	0.00266184083320667	0.00311709641891555	0.00394866732477789
ccuenta_debitos_automaticos	0.00256975674233636	0.00723005137179616	0.0069101678183613
ccaja_seguridad	0.00240381302539481	0.0211809687133524	0.00592300098716683
Master_cconsumos	0.00212103636183814	0.00343416373578801	0.00394866732477789
mtransferencias_emitidas	0.00208204778700833	0.00429802610653968	0.0069101678183613
mplazo_fijo_dolares	0.0020461671256979	0.0124404655546378	0.00345508390918065
Master_msaldototal	0.0020173153671831	0.00493135792530308	0.00345508390918065
mautoservicio	0.00198504019980389	0.0100166110224824	0.0157946692991115
ctarjeta_debito	0.00175940961997016	0.00363610515426731	0.00444225074037512
Visa_mpagado	0.00169500963154769	0.0101980918091408	0.0054294175715696
matm	0.00168409054360118	0.00563774590738581	0.00444225074037512
cseguro_accidentes_personales	0.00161310056688889	0.00811329280418534	0.00444225074037512
ctransferencias_emitidas	0.00135846316756788	0.00418465079081457	0.00592300098716683
Master_fultimo_cierre	0.0012704946442701	0.00185110179387335	0.00246791707798618
Master_mpagominimo	0.00122377322306882	0.00222958445683294	0.00197433366238894
cpagomiscuentas	0.00117436624730964	0.0070979883073343	0.0054294175715696
Visa_mpagosdolares	0.00092234184143781	0.00329151912386125	0.00345508390918065
cmobile_app_trx	0.000893108757470941	0.00102998932088821	0.00246791707798618
Master_mconsumospesos	0.000769741678317893	0.00227775335572481	0.00296150049358342
mtarjeta_master_consumo	0.000758447561458878	0.00131317115541522	0.00197433366238894
catm_trx	0.000691180584420892	0.00208704019677887	0.00197433366238894
ccomisiones_mantenimiento	0.000638951459484199	0.00125399700115154	0.00197433366238894
Visa_fultimo_cierre	0.000522772037858022	0.0011577595552405	0.00148075024679171
ctarjeta_visa_debitos_automaticos	0.000459888386904496	0.00219942314398515	0.00246791707798618
ctarjeta_master	0.000399829304279142	0.00112445388371504	0.000493583415597236
mtarjeta_visa_descuentos	0.000336212217505431	0.00451742875086728	0.00296150049358342
cplazo_fijo	0.000311885762303181	0.00355441872989652	0.000987166831194472
Master_mconsumosdolares	0.00030293114799279	0.000380879957696111	0.000987166831194472
Master_status	0.000296147349449262	0.000478299325663291	0.00148075024679171
cextraccion_autoservicio	0.000249203724181778	0.00135538584319407	0.000987166831194472
mextraccion_autoservicio	0.000242141431029577	0.00170791082175082	0.00246791707798618
Visa_mconsumosdolares	0.000231039618611818	0.000341542023601088	0.000987166831194472
ctarjeta_master_trx	0.000158289638182974	0.000187981357967116	0.000493583415597236
ctarjeta_visa_descuentos	0.000152369357013076	0.00346942069372692	0.00246791707798618
Master_mconsumototal	0.000125284625190527	0.000994096801088929	0.000987166831194472
matm_other	1.96624597662273e-05	0.000353305493122134	0.000493583415597236
