Feature	Gain	Cover	Frequency
ctrx_quarter	0.14264388432923	0.0300508465859064	0.0234959060163759
mpasivos_margen	0.116922969652372	0.0175358466204499	0.0131719473122108
cpayroll_trx	0.110838165172028	0.0267325031108395	0.0128159487362051
mpayroll	0.0817702883173057	0.0535552862010758	0.0224279102883588
mtarjeta_visa_consumo	0.0704428030164704	0.00799940431548864	0.00783196867212531
ctarjeta_visa_trx	0.0645341927410018	0.00655537908487199	0.00640797436810253
mcaja_ahorro	0.0373782233724841	0.0110814759772565	0.0131719473122108
mprestamos_personales	0.0325649048607602	0.0307131495052978	0.024563901744393
Visa_msaldopesos	0.0281480186406991	0.0174827324417001	0.0206479174083304
mrentabilidad_annual	0.0273365198261306	0.0568846713333738	0.0715557137771449
mcuentas_saldo	0.0254613550696692	0.0539683534926994	0.0583837664649342
mactivos_margen	0.0232020150222129	0.0267066798802183	0.0334638661445354
Master_fechaalta	0.0140881990241228	0.043257466974437	0.0512637949448202
ccomisiones_otras	0.0123843995376871	0.00959576511299966	0.0121039515841937
cliente_edad	0.0114891184259658	0.0389398596610279	0.0498398006407974
chomebanking_trx	0.00879294969570594	0.0179092793982972	0.019935920256319
mcaja_ahorro_dolares	0.00834336631211683	0.0244267987407721	0.0192239231043076
Master_Fvencimiento	0.0079332024409041	0.0135351189027737	0.0284798860804557
Visa_mfinanciacion_limite	0.00755642864727783	0.0228726210041736	0.0295478818084728
numero_de_cliente	0.00734506284090644	0.0167049097146472	0.0316838732645069
mcuenta_corriente	0.0072439171288572	0.00864325943826029	0.016375934496262
ccaja_ahorro	0.00693124098286485	0.0457970112911385	0.0217159131363475
ctarjeta_visa_trx2	0.00691597785815069	0.00622561550867696	0.0085439658241367
cprestamos_personales	0.00686135076630075	0.00123600851460387	0.00213599145603418
Master_mpagospesos	0.0061653776841114	0.0317059652123316	0.019935920256319
Visa_mpagominimo	0.00603238968456796	0.00254660041467625	0.00961196155215379
Master_mfinanciacion_limite	0.00591990964493999	0.0125758211963894	0.0217159131363475
Master_mlimitecompra	0.00574271315029244	0.00969911944625905	0.0177999288002848
Visa_fechaalta	0.00572379287028651	0.00740063084217968	0.016375934496262
cproductos	0.00556423003530082	0.00985120937005595	0.0110359558561766
mrentabilidad	0.00537309368142833	0.0137800250709486	0.0174439302242791
mcomisiones	0.00533868364330794	0.00476583841443522	0.0113919544321823
mpagomiscuentas	0.00526906671009448	0.0264667295615348	0.0153079387682449
Visa_mlimitecompra	0.00520226353548236	0.0213680631732636	0.024563901744393
cliente_antiguedad	0.00470885246962927	0.0046978014175142	0.011747953008188
Visa_Fvencimiento	0.00432019381334997	0.00546374730080456	0.0131719473122108
mcuenta_debitos_automaticos	0.00378550059440794	0.010164097265455	0.0088999644001424
ccaja_seguridad	0.0037567238774754	0.0259728579729992	0.0131719473122108
Master_msaldopesos	0.00363029832321165	0.00438712430999238	0.00569597721609114
Visa_msaldototal	0.00349318686297823	0.00660410239325464	0.0103239587041652
Visa_mpagado	0.00342062367399365	0.0290662230761732	0.0210039159843361
Visa_mpagospesos	0.00336824571507085	0.00741258137887147	0.00996796012815949
ctransferencias_recibidas	0.00325083181834326	0.0156130752750243	0.0103239587041652
mtransferencias_recibidas	0.00320875257104195	0.00369807085728673	0.00783196867212531
ccallcenter_trx	0.00314009018970188	0.0189938243790027	0.0110359558561766
ccuenta_debitos_automaticos	0.00305244706099077	0.00872480066446458	0.0085439658241367
mtarjeta_visa_debitos_automaticos	0.0028220115255893	0.00920736038836174	0.011747953008188
ctarjeta_debito_trx	0.00266642106315884	0.00628497516317994	0.00427198291206835
mcomisiones_otras	0.00263635098012734	0.00287409179221972	0.00498398006407974
mplazo_fijo_dolares	0.00244128550321438	0.0275912406741982	0.0106799572801709
thomebanking	0.00230769093929118	0.0057603490588415	0.00498398006407974
mcomisiones_mantenimiento	0.00197927739289135	0.00398255012846366	0.00605197579209683
Master_msaldototal	0.00180695182451968	0.00430584715011787	0.00355998576005696
Visa_mconsumospesos	0.0017017766825711	0.00128432037079826	0.00320398718405126
mautoservicio	0.00161479773872855	0.00168985256040709	0.00391598433606266
Master_cconsumos	0.00145214168636982	0.0052078056164759	0.00640797436810253
cseguro_accidentes_personales	0.00143885688187985	0.0144878333741459	0.00711997152011392
cpagomiscuentas	0.000904159248841726	0.00353673247087018	0.00355998576005696
ccomisiones_mantenimiento	0.000868034986201533	0.00267562445162098	0.00213599145603418
ctarjeta_debito	0.000843242417539841	0.00150199700161894	0.00213599145603418
ccajas_consultas	0.00081351801670317	0.0120816057075174	0.00498398006407974
Visa_mconsumototal	0.00074583017527964	0.000578649162548946	0.000711997152011392
Visa_cconsumos	0.000664820448083376	0.000704774610943553	0.00213599145603418
cplazo_fijo	0.000649709403597216	0.00430367934978272	0.00213599145603418
tcallcenter	0.000583908880606939	0.00214453793381914	0.00177999288002848
mtarjeta_master_consumo	0.000411981136838752	0.00357294640451431	0.00177999288002848
ctarjeta_visa_debitos_automaticos	0.000377556104690559	0.000304812378569789	0.00106799572801709
Visa_delinquency	0.00036058454745998	0.0013447608549301	0.000711997152011392
catm_trx	0.000329327652500282	0.00220539601121668	0.00177999288002848
Visa_mpagosdolares	0.000320729381532864	0.00172679728226618	0.00177999288002848
Visa_msaldodolares	0.000316535865639297	0.000770797334465339	0.000711997152011392
Master_mpagominimo	0.000315477584904216	0.000652249975627599	0.00142399430402278
matm	0.000277616296373821	0.000977506000984108	0.00142399430402278
ctarjeta_master	0.000252473183301801	0.000286542673195656	0.000355998576005696
Visa_mconsumosdolares	0.000243120657859117	0.000924606759944515	0.000711997152011392
mextraccion_autoservicio	0.000222008764767743	0.00313328824758982	0.00177999288002848
Master_mconsumospesos	0.000192606988344923	0.000247847744267112	0.000711997152011392
Master_mconsumototal	0.000183924868722732	0.000232961772560591	0.000355998576005696
Master_fultimo_cierre	0.000179675469701721	0.000259521932474248	0.000355998576005696
mtransferencias_emitidas	0.000174113008894603	0.000654018605929364	0.00106799572801709
minversion2	0.000117775723203269	0.00293644215143436	0.00106799572801709
Master_mpagosdolares	0.000117646032171652	0.000151746023460451	0.000355998576005696
cextraccion_autoservicio	7.02396466667785e-05	4.55790767350655e-05	0.000355998576005696
