Feature	Gain	Cover	Frequency
ctrx_quarter	0.0987599051177816	0.0244338144629721	0.0270464829288359
mpasivos_margen	0.0818619524458126	0.0229028730331685	0.0297202797202797
Visa_msaldototal	0.048771204002889	0.00842498600633848	0.0112093788564377
cpayroll_trx	0.0487101167221354	0.0150583052630111	0.00493624023035788
mpayroll	0.0441760423699968	0.0284398660990851	0.0137803373097491
mtarjeta_visa_consumo	0.0381965938630821	0.0156123646200397	0.0214932126696833
mcaja_ahorro	0.0319152884964092	0.0164769687239175	0.0257095845331139
mrentabilidad_annual	0.0293979372786877	0.0221855310519847	0.0269436445907034
mactivos_margen	0.0250791686261125	0.0203990334911646	0.0216988893459482
mcuentas_saldo	0.0236953611296072	0.0244161406178724	0.0264294529000411
mprestamos_personales	0.0217934566759931	0.0193169250597096	0.0062731386260798
mcuenta_corriente	0.0210295048240755	0.0109215647801949	0.0163512957630605
Master_Fvencimiento	0.0196437501135753	0.0228827639921675	0.0312628547922666
cliente_edad	0.0180764426826441	0.0226509174065213	0.0280748663101604
Master_fechaalta	0.0173419656374485	0.024205857218837	0.0312628547922666
cliente_antiguedad	0.016382737879831	0.0139452663576441	0.0210818593171534
Visa_fechaalta	0.0159610324776664	0.0143170644983297	0.0230357877416701
ctarjeta_visa_trx	0.0154800456447086	0.0209729329718553	0.0199506375976964
mextraccion_autoservicio	0.0142237253313328	0.0103223671498547	0.0122377622377622
mcomisiones_otras	0.0137911455656671	0.00968180106889662	0.0197449609214315
numero_de_cliente	0.0123873487412685	0.01084486357923	0.0199506375976964
mcomisiones	0.0123787471722787	0.0126658074591694	0.018510900863842
mcaja_ahorro_dolares	0.0121175528199001	0.0155845964148339	0.0179967091731798
mrentabilidad	0.0121069419845544	0.0146289936714786	0.0163512957630605
Visa_msaldopesos	0.0115209310160596	0.0177329371948535	0.0234471410941999
Visa_Fvencimiento	0.0110836734775849	0.010596867013404	0.0180995475113122
Master_mlimitecompra	0.0108980256548153	0.0138026355891182	0.0174825174825175
chomebanking_trx	0.0103632761940789	0.00843886014903997	0.0141916906622789
Visa_mfinanciacion_limite	0.010125137205541	0.0119101098975525	0.016248457424928
ccomisiones_otras	0.00964088420828344	0.0136073717214494	0.0166598107774578
Visa_mpagospesos	0.0094095088906939	0.00904284849197132	0.0179967091731798
Master_mfinanciacion_limite	0.00940234184660962	0.00927006372344939	0.0164541341011929
mtransferencias_recibidas	0.00935790684807294	0.00791496435351276	0.0165569724393254
Visa_mpagominimo	0.00906059120959459	0.011120996866615	0.017379679144385
Visa_mlimitecompra	0.00882631176441044	0.0131992348803716	0.0147058823529412
ccomisiones_mantenimiento	0.0086642147300969	0.017359829327129	0.00637597696421226
Visa_mconsumospesos	0.0086282528243342	0.0100140534209273	0.0152200740436035
mtransferencias_emitidas	0.00817402842001659	0.0135722132693775	0.0143973673385438
Visa_cconsumos	0.00781863966993306	0.0107379988167637	0.0150143973673385
mtarjeta_visa_debitos_automaticos	0.00773563256091026	0.010757978379046	0.0143973673385438
ctransferencias_recibidas	0.00763728344830754	0.0109357675996438	0.0117235705471
mautoservicio	0.00693900702874414	0.013064557093143	0.018716577540107
cproductos	0.00671768144151091	0.00844370066113826	0.00915261209378856
thomebanking	0.0065495368994286	0.00379062394798541	0.00359934183463595
Visa_mconsumototal	0.00600138273657638	0.00721651132540392	0.0118264088852324
ctransferencias_emitidas	0.00600022096022324	0.0163348409304142	0.0097696421225833
mcomisiones_mantenimiento	0.00566272930737563	0.0155051064414667	0.00853558206499383
Visa_mpagado	0.00538492900254323	0.0113081434146128	0.00791855203619909
mpagomiscuentas	0.00525931307236317	0.0119395663060518	0.0104895104895105
Master_mpagominimo	0.00452156937714216	0.00620961010969836	0.00555327025915261
Master_msaldototal	0.0045011115025541	0.00542213548254727	0.00596462361168244
cprestamos_personales	0.00448580584716622	0.00553490148661489	0.00267379679144385
Master_mpagospesos	0.0041461841729816	0.0138990723347802	0.00709584533113945
ctarjeta_visa_debitos_automaticos	0.0039495074439376	0.00795521231521893	0.00730152200740436
Master_status	0.00379551697265658	0.0100945543242904	0.00154257507198684
ccuenta_debitos_automaticos	0.00341535069347072	0.00934721311997896	0.00730152200740436
Master_msaldopesos	0.00323843403956543	0.008577492017139	0.00637597696421226
ccallcenter_trx	0.00305563639221363	0.00448506811576593	0.0018510900863842
tcallcenter	0.0030152086597541	0.00438031485240422	0.00195392842451666
cmobile_app_trx	0.00277261450469752	0.0018405947654742	0.00380501851090086
ctarjeta_debito_trx	0.00266612720337139	0.00504455561907759	0.00904977375565611
mdescubierto_preacordado	0.00262094507531987	0.00841533984179693	0.00205676676264912
ccaja_ahorro	0.00260301006738605	0.0102929904205668	0.00329082682023859
cpagomiscuentas	0.00256669437266141	0.00631539422285877	0.00555327025915261
